Month,City,All Beds,1 Bed,2 Beds,,Calculations,,,,Month,City,All Beds,1 Bed,2 Beds,,Calculations,,
9/1/2015,Nashville,"1,260","1,086","1,342",,,,,,15-Sep,Los Angeles,"2,453","2,101","2,798",,,,
10/1/2015,Nashville,"1,275","1,103","1,358",,,,,,15-Oct,Los Angeles,"2,450","2,137","2,812",,,,
11/1/2015,Nashville,"1,263","1,114","1,340",,All beds,1 bed,2 beds,,15-Nov,Los Angeles,"2,461","2,155","2,819",,All beds,1 bed,2 beds
12/1/2015,Nashville,"1,256","1,123","1,340",Avg 2015,"$1,199.17 ","$1,039.58 ","$1,275.25 ",,15-Dec,Los Angeles,"2,435","2,143","2,792",Avg 2015,"$2,414.67 ","$2,049.08 ","$2,714.08 "
1/1/2016,Nashville,"1,266","1,132","1,354",Change YTD,$180.00 ,$172.83 ,$222.33 ,,16-Jan,Los Angeles,"2,444","2,170","2,822",Change YTD,$243.08 ,$188.08 ,$222.75 
2/1/2016,Nashville,"1,295","1,157","1,384",,,,,,16-Feb,Los Angeles,"2,432","2,154","2,800",,,,
3/1/2016,Nashville,"1,346","1,195","1,444",,,,,,16-Mar,Los Angeles,"2,575","2,292","2,955",,,,
4/1/2016,Nashville,"1,363","1,199","1,473",,,,,,16-Apr,Los Angeles,"2,591","2,274","2,968",,,,
5/1/2016,Nashville,"1,371","1,204","1,486",,,,,,16-May,Los Angeles,"2,595","2,286","2,985",,,,
6/1/2016,Nashville,"1,375","1,204","1,495",,,,,,16-Jun,Los Angeles,"2,585","2,282","2,979",,,,
7/1/2016,Nashville,"1,395","1,220","1,520",,,,,,16-Jul,Los Angeles,"2,603","2,290","3,006",,,,
8/1/2016,Nashville,"1,422","1,234","1,572",,,,,,16-Aug,Los Angeles,"2,612","2,299","3,021",,,,
9/1/2016,Nashville,"1,437","1,262","1,574",,,,,,16-Sep,Los Angeles,"2,614","2,303","3,027",,,,
10/1/2016,Nashville,"1,409","1,239","1,547",,,,,,16-Oct,Los Angeles,"2,663","2,328","3,088",,,,
11/1/2016,Nashville,"1,391","1,229","1,531",,All Beds,1 bed,2 beds,,16-Nov,Los Angeles,"2,601","2,291","3,029",,All beds,1 bed,2 beds
12/1/2016,Nashville,"1,396","1,239","1,524",Avg 2016,"$1,372.17 ","$1,209.50 ","$1,492.00 ",,16-Dec,Los Angeles,"2,611","2,301","3,024",Avg 2016,"$2,577.17 ","$2,272.50 ","$2,975.33 "
1/1/2017,Nashville,"1,401","1,242","1,537",Change YTD,$173.00 ,$169.92 ,$216.75 ,,17-Jan,Los Angeles,"2,618","2,305","3,014",Change YTD,$162.50 ,$223.42 ,$261.25 
2/1/2017,Nashville,"1,420","1,249","1,554",,,,,,17-Feb,Los Angeles,"2,625","2,313","3,011",,,,
3/1/2017,Nashville,"1,401","1,225","1,531",,,,,,17-Mar,Los Angeles,"2,558","2,243","2,978",,,,
4/1/2017,Nashville,"1,387","1,211","1,526",,,,,,17-Apr,Los Angeles,"2,552","2,229","2,996",,,,
5/1/2017,Nashville,"1,407","1,236","1,548",,,,,,17-May,Los Angeles,"2,503","2,194","2,914",,,,
6/1/2017,Nashville,"1,426","1,266","1,563",,,,,,17-Jun,Los Angeles,"2,489","2,194","2,883",,,,
7/1/2017,Nashville,"1,416","1,251","1,546",,,,,,17-Jul,Los Angeles,"2,511","2,209","2,904",,,,
8/1/2017,Nashville,"1,399","1,242","1,519",,,,,,17-Aug,Los Angeles,"2,490","2,184","2,895",,,,
9/1/2017,Nashville,"1,379","1,223","1,489",,,,,,17-Sep,Los Angeles,"2,524","2,218","2,947",,,,
10/1/2017,Nashville,"1,388","1,228","1,506",,,,,,17-Oct,Los Angeles,"2,481","2,207","2,907",,,,
11/1/2017,Nashville,"1,377","1,202","1,499",,All Beds,1 Bed,2 beds,,17-Nov,Los Angeles,"2,445","2,183","2,863",,All beds,1 bed,2 beds
12/1/2017,Nashville,"1,361","1,214","1,460",Avg 2017,"$1,396.83 ","$1,232.42 ","$1,523.17 ",,17-Dec,Los Angeles,"2,430","2,168","2,839",Avg 2017,"$2,518.83 ","$2,220.58 ","$2,929.25 "
1/1/2018,Nashville,"1,366","1,206","1,487",Change YTD,$24.66 ,$22.92 ,$31.17 ,,18-Jan,Los Angeles,"2,461","2,188","2,901",Change YTD,($58.33),($51.92),($46.08)
2/1/2018,Nashville,"1,366","1,211","1,492",,,,,,18-Feb,Los Angeles,"2,512","2,230","2,972",,,,
3/1/2018,Nashville,"1,358","1,211","1,472",,,,,,18-Mar,Los Angeles,"2,554","2,252","3,012",,,,
4/1/2018,Nashville,"1,336","1,197","1,447",,,,,,18-Apr,Los Angeles,"2,546","2,251","3,026",,,,
5/1/2018,Nashville,"1,353","1,216","1,463",,,,,,18-May,Los Angeles,"2,742","2,388","3,214",,,,
6/1/2018,Nashville,"1,349","1,217","1,466",,,,,,18-Jun,Los Angeles,"2,755","2,397","3,235",,,,
7/1/2018,Nashville,"1,345","1,221","1,454",,,,,,18-Jul,Los Angeles,"2,799","2,444","3,286",,,,
8/1/2018,Nashville,"1,375","1,249","1,486",,,,,,18-Aug,Los Angeles,"2,784","2,413","3,259",,,,
9/1/2018,Nashville,"1,412","1,280","1,539",,,,,,18-Sep,Los Angeles,"2,819","2,437","3,309",,,,
10/1/2018,Nashville,"1,400","1,254","1,542",,,,,,18-Oct,Los Angeles,"2,809","2,439","3,288",,,,
11/1/2018,Nashville,"1,389","1,240","1,525",,All Beds,1 bed,2 beds,,18-Nov,Los Angeles,"2,769","2,414","3,248",,All beds,1 bed,2 beds
12/1/2018,Nashville,"1,399","1,257","1,536",Avg 2018,"$1,370.67 ","$1,229.92 ","$1,492.42 ",,18-Dec,Los Angeles,"2,775","2,413","3,244",Avg 2018,"$2,693.75 ","$2,355.50 ","$3,166.17 "
,,,,,Change YTD,($26.16),($2.50),($30.75),,,,,,,Change YTD,$174.92 ,$134.92 ,$236.92 
